age,gender,height_cm,weight_kg,sit and bend forward_cm,sit-ups counts,class
31,F,160.2,57.4,18.2,35,A
21,F,165.4,63.5,19.8,41,B
35,F,169,59.1,18.6,47,B
26,M,164.2,70.9,11.6,61,B
23,F,157.5,50.8,21.7,42,A
42,M,178,80.6,24.9,52,B
44,M,180.8,78.4,9.7,32,D
44,M,168.2,71.6,15.4,51,A
23,F,171,67.3,20.5,49,A
27,M,174.2,75.6,18.4,57,A
52,F,157,57.6,24.2,24,A
63,M,179.6,71.4,14.3,33,A
62,M,173.6,71.64,1.4,38,D
30,M,175.2,91.5,16.4,45,D
63,M,170.2,56.8,-12.5,22,D
21,M,176,61.2,0.4,60,D
35,F,169.5,73.2,17.3,42,B
22,M,168.9,69,18,56,A
35,M,171,89,26.4,60,B
24,F,171.5,61.7,-2.2,18,D
25,M,175,72.54,18.7,48,B
60,M,171.4,68.4,13.4,44,A
22,M,180,87.1,5.9,34,D
31,F,154.5,55.2,16,31,B
33,F,167.9,61.6,21.6,44,C
23,M,173.2,66.3,-5,30,D
27,M,174.3,65.2,22.7,57,B
44,M,172.6,73,15.9,32,C
26,M,189.3,87,18.2,51,A
55,M,173.5,74.4,13.7,41,C
27,M,168.9,70.2,7.6,57,C
39,F,160.6,54.8,19.3,32,A
40,M,174,61.6,17.4,54,A
27,F,162.2,48.3,15.2,25,C
36,F,168.6,59.1,21.6,13,D
49,M,167.6,68.22,12.3,43,B
21,M,163.3,63.4,11.3,59,B
52,M,172.3,72.9,16.9,46,B
21,M,167.6,55.2,16.4,57,A
48,F,167,61.4,24.4,41,A
24,M,179.7,73.8,19.2,50,B
59,M,165.2,67.62,15.8,35,C
56,F,166.6,61.3,26.1,26,A
38,M,176.7,67.7,7.7,38,C
51,F,156.6,47.7,19.9,26,B
21,M,178.6,65.1,21.2,52,C
52,F,160.4,56.7,22.4,19,C
22,F,158,53.8,5.8,22,D
57,F,156.2,53,20.1,33,A
35,M,181,78.5,-1.5,62,D
22,M,175.9,70.9,8.4,53,C
56,M,171,76.5,10.5,45,B
42,F,164.2,64.5,20.6,35,A
55,F,155.6,58,23.3,21,A
50,F,160.8,62.5,15.2,15,C
32,M,168.7,73.3,21.5,51,A
31,M,174.2,76.9,7.1,53,C
62,F,150.3,51.4,18.3,8,C
24,M,168,65.2,15.5,55,B
25,M,174,70.2,22,69,A
29,F,163.1,54.1,25.9,61,A
23,M,174.3,71.8,-1.9,51,D
60,F,161,54.1,11.6,3,D
48,F,158,48,20,23,B
54,F,160.9,58.7,23,23,B
44,M,167.1,57.9,16.3,24,D
24,F,166.4,53.7,11.8,14,D
64,F,156.7,56.4,19.8,19,C
23,F,167.7,58.2,22.6,66,A
24,F,166.8,58.5,23.1,57,A
33,M,170.3,70.1,9.3,45,C
49,F,162.2,56,18.2,30,B
64,F,151.6,71.6,13.6,0,D
37,M,178.5,61.3,11,43,B
45,M,172.8,69.48,4,46,D
23,F,161.5,59.2,22.9,48,A
23,M,182,85.9,20.4,44,C
23,F,163.9,52.4,29,44,C
21,F,168.7,56.4,17.2,27,C
28,M,178.5,81.4,22.9,50,B
40,M,174.2,77.1,18.8,33,D
21,F,157.6,53.1,25.3,59,A
21,F,164.3,52.1,25,44,A
25,M,178.8,74.5,25.5,36,D
43,M,174.3,72.7,14.7,46,C
24,M,176.2,73.16,15.6,56,B
26,M,169.4,71.2,15.1,52,A
26,F,156,64.3,25.5,49,A
29,F,157.8,57.4,23.1,42,A
38,F,162.1,64.1,17.8,41,B
28,M,175.6,77.8,12,54,C
60,M,166.4,69.8,22.9,27,B
33,M,180.6,80.9,20.9,57,B
60,M,166.5,60.9,17.4,42,A
49,M,170.8,71.5,14,30,C
38,F,159.8,69.5,17.3,30,D
26,F,167.7,63.4,17.3,36,B
21,F,161.9,62.4,23.7,36,B
60,F,160.6,59.18,21.8,15,B
55,M,170.9,70.8,12,32,B
29,M,171.8,67.16,13.2,35,D
21,M,173.6,84.3,23.6,60,B
25,M,164.6,92.5,14.2,36,D
29,M,170,69.7,14.1,57,B
57,F,161,50.02,20.5,38,A
21,M,169.9,65.44,-1.6,45,D
21,F,165.6,68,10.1,33,D
34,M,169.5,70.9,16.4,48,A
46,F,162,63.2,0.7,12,D
54,M,171.9,91.7,8.6,30,D
38,M,174.4,72.68,17,45,C
23,F,162.1,48.2,7.8,37,D
21,M,176.4,66.2,21.8,57,B
22,M,176.6,80.5,-6.1,53,D
37,M,169.9,85.2,2.2,18,D
49,M,172,65.6,20,30,C
27,M,165.4,65,10.2,46,B
23,F,164.2,54.2,31.2,55,B
21,M,169.4,64.2,16.4,55,B
26,F,161.2,47,25.4,42,A
34,M,178,116.3,-1.8,31,D
41,F,161.8,57.3,19.4,31,A
26,F,170.9,55.4,21.7,27,B
35,M,175.7,82.9,4.8,33,C
36,M,168.3,64.5,20.5,47,A
27,M,171.9,94.7,-4.6,41,D
23,M,171.1,70.8,7.6,60,C
22,M,181.8,77,-11.6,64,D
61,M,170.3,67.1,14.9,34,B
43,F,171.4,65.6,23.2,26,B
25,M,174.2,63,15.1,52,B
37,M,179.5,84.6,13.7,43,B
57,M,164.6,64.2,16.4,39,A
30,F,165.8,53.4,15.8,37,B
21,M,182.9,68.1,20.1,64,A
35,M,168.4,71.9,16.2,42,B
54,M,173.4,56.9,7.5,44,C
22,F,175.5,73.7,11.3,30,C
60,M,168.7,73.2,9.1,30,B
23,F,154.3,49,24.3,43,A
33,M,175.3,74.2,19.2,44,B
25,M,175.1,68.2,6.7,46,C
36,M,176.7,88,11.1,52,D
26,M,163.3,64.2,6.1,50,D
56,M,168.6,68,20,41,A
29,F,167.8,63.5,26.5,44,D
37,M,175,76.3,18,46,C
58,M,168.5,80,14.5,5,D
22,F,158.5,53,21.7,34,B
44,M,177.4,69.9,-15,39,D
33,F,157.7,53.9,16.8,52,B
25,F,161.7,54.4,15.8,26,C
24,M,163,62.4,19.5,65,B
22,M,166.9,90.3,2.9,57,D
25,M,162.8,70.1,8.4,55,D
25,M,179,82.6,22,59,A
29,F,161.8,63.2,26.8,56,A
21,F,161.5,57.2,12.6,40,C
31,F,163,53.6,29.9,42,A
62,M,181.3,93.4,16.2,23,D
57,M,168.5,53.3,10.3,25,C
52,F,156.1,52.3,-7.6,10,D
22,M,174.5,73.2,7.6,53,C
37,F,155.3,45.22,15.6,44,B
38,F,162.7,54,21.8,33,B
64,M,162.8,58.5,19.7,45,A
38,M,182.5,72.7,21.8,59,A
55,F,149,52.7,16.5,1,D
29,F,167.2,54.4,14.8,0,D
32,F,154.4,55.8,23.2,35,C
28,M,171.5,69.6,6.6,43,C
25,M,168.6,65.6,12.9,60,B
43,M,173,69,9.5,45,B
63,F,153.2,56,23.8,0,D
24,M,170.1,71.8,15,59,B
21,F,164,59,21.4,53,A
37,F,154.7,44.4,21.5,34,A
29,M,168.3,56.4,2.5,45,D
34,F,168.3,58.1,20.6,32,A
22,M,183.3,82.22,19.9,48,B
26,F,164.1,53.5,23.7,36,B
34,F,152,46.6,26.6,24,C
51,F,160.3,56.4,22.5,38,B
25,M,170.1,59.6,5,44,D
57,F,154.4,52.9,24.9,48,B
46,M,172,61,0,27,D
44,M,177.2,70.6,18.3,52,A
21,F,165.5,54.72,19.3,37,B
27,M,168.6,81.5,18.3,67,C
41,F,162.1,54.5,12.5,33,C
25,F,157.4,56.8,22.7,54,A
21,F,162.7,49.72,22.7,49,A
22,M,175.4,64.1,9.7,60,C
31,M,167.5,70.4,18.8,55,A
23,M,169.5,74,18.4,46,C
21,F,167.2,77.9,21.8,33,B
35,M,179.1,91.6,12.8,38,C
26,M,176,70.6,-6.1,47,D
56,F,152.3,46.9,14,14,C
40,M,175.1,68.58,17.9,52,A
21,M,175.8,71.24,18.1,47,C
27,M,172.6,71.9,19.1,55,A
61,M,163.9,59.4,12.5,19,D
45,M,167.4,67.46,13.6,38,B
25,F,152,49.5,22,56,B
35,M,171.3,77.2,25,48,B
25,F,168.1,53.6,23.8,46,A
36,M,175.6,84.8,12.2,34,D
42,M,173.6,75.5,15.9,38,B
22,M,174,80.9,4.9,50,D
21,M,182.2,80.3,15.6,62,B
39,M,170.8,82.5,-3.5,32,D
44,M,173.5,67.7,11.1,45,C
49,M,179.3,75.8,14.2,41,A
22,M,165.3,61,18.1,44,C
38,M,169,72.9,8.8,50,C
27,M,183.1,85.5,6.9,53,D
21,F,160.6,47.96,19.9,42,B
56,M,169.8,64.78,7.9,32,C
25,M,169.9,78.2,23.2,61,A
28,M,175.6,72.6,28.8,56,A
64,M,165.2,77.9,15.2,26,D
26,F,165.1,56.2,13.9,34,B
43,M,169.5,67.9,16.4,35,C
62,M,171,64.9,9.4,39,B
21,M,186.5,73.2,16,42,C
42,M,171.1,78.3,16.2,44,A
22,F,162.3,52.9,22.6,52,A
22,F,166.3,56.2,20.6,46,A
53,F,155,52.5,14,36,C
25,F,166.1,54.5,22.4,42,B
22,M,167.7,66.5,0.7,34,D
26,F,175.6,62.8,19,28,B
49,M,178.9,81.9,19.5,38,B
45,M,174.7,90.3,-10.7,33,D
42,F,160,56.8,-4.1,40,D
27,M,170.7,72,20.6,59,A
46,F,155.1,62.5,21,24,D
22,F,151,67.6,21.1,50,B
26,M,171.1,60.3,17.1,53,A
21,F,161.7,59.7,22.8,15,D
53,M,169,67.8,7.3,40,C
58,F,163,57.9,23.5,33,C
24,M,174.5,71,9.6,42,C
21,M,180,82.5,7.7,58,C
56,F,158.3,55.8,23.6,20,B
56,F,152.2,64.3,17.7,20,D
62,M,164.8,78.8,10,28,B
25,M,168.2,58.4,7.2,34,D
37,F,156.6,50.3,18.5,29,C
46,M,165.6,69.58,17.8,33,D
29,M,174.3,84.3,8.1,56,C
29,M,173,73.8,12.6,53,B
24,F,155.4,53.7,24.1,47,A
31,M,175.8,71.3,15,45,C
64,M,171.6,55.5,9.8,21,C
47,F,159.8,47.7,13,32,C
53,M,173.1,73.5,5.5,39,C
26,M,183.4,77.8,18.8,55,A
23,M,171.1,64.8,12.3,55,D
21,M,175.4,68.1,22.4,47,C
28,M,179,80.6,17.7,57,A
45,M,173,65.54,22.7,47,A
46,F,159.7,49.3,28.2,31,B
30,M,166.8,70.3,19.2,60,A
58,M,170.6,73.6,14.2,35,D
22,M,167.2,64,14.5,57,B
37,M,173.5,80.6,21.9,50,A
37,M,166.2,75.6,17.5,49,A
32,M,165.7,76.6,13.4,49,B
33,M,183.1,75.3,2.5,35,D
25,M,182.5,71.1,18.6,42,C
24,M,175.3,72.3,23,45,C
24,M,183.1,77.6,10.5,51,C
27,M,170.4,66.1,29.1,53,A
29,F,168.8,51,22.8,43,A
63,F,157.4,48.2,28,27,A
49,M,170.4,75.9,3.5,30,D
27,M,171.7,77.3,24.3,59,A
27,M,164.7,59.1,24.1,41,D
26,M,170.7,71.84,18.9,54,A
51,F,160.4,60.7,16.4,4,D
26,M,176,72.4,19.6,75,A
37,M,162.5,57.7,15.5,59,A
23,M,177,80.8,8,51,C
60,M,168.1,60.1,16.4,32,A
61,M,158.6,64.3,8.5,25,B
63,F,159.9,61.3,19.1,19,C
21,F,154.4,54.2,16.4,43,B
60,M,167.6,68.1,-3.2,19,D
48,F,168.8,46.1,24.7,32,C
38,F,156.5,49.5,17.9,32,B
21,F,170.2,65.8,19.8,40,C
47,F,172,57.66,26.7,19,C
50,M,170.4,69.5,14.9,36,B
33,M,179.6,75.9,16.4,39,C
40,F,173.2,65.22,17.8,31,C
35,M,165.6,88.5,7.4,6,D
41,M,170.6,70.3,14.2,41,B
22,M,171.4,56.6,15,48,D
46,M,170.3,69.6,12.4,38,C
27,M,162.6,79.6,-3.6,17,D
50,F,159.4,61.3,18.3,15,C
32,M,183.8,96.2,7.6,51,C
35,F,159.9,56.5,24.1,26,D
31,M,177.2,101.1,9.5,42,D
40,M,169.8,86.4,2.9,27,D
24,F,154.4,49.52,20.4,35,B
33,M,181.7,81.2,15.5,43,C
31,M,171.5,61,21,51,B
26,F,159.2,51.98,24.5,29,C
23,F,157.1,57.7,33,33,C
22,F,155,51.5,16.8,32,C
21,M,177.3,69.9,7.7,49,C
30,M,177,74.8,5.7,55,C
21,F,159.9,53.5,18.7,36,B
21,F,166.8,57.9,16.5,57,B
50,F,164.8,60.2,20.4,13,C
21,M,182.4,76.1,19.5,46,C
39,M,183.2,98.76,9.9,33,D
46,F,166.8,64.5,12.7,18,C
22,M,166.5,67,17.2,63,A
34,M,171.7,81.1,10.3,38,C
61,F,153.8,52.3,17.4,18,B
58,M,163,57.5,22.9,48,A
47,M,167.1,74.6,12.7,46,B
59,F,157,50.7,18.9,20,B
25,M,171.4,69,10.9,50,B
24,F,177.4,62.7,21.5,49,A
59,F,159,58.4,25,12,C
29,M,178.9,83.1,21.2,55,A
22,M,178.4,86.8,-6.9,38,D
37,M,171.5,89.2,11.8,36,D
62,F,161.9,61.6,20.5,15,D
32,F,164.8,69.6,15.5,28,D
51,M,171.5,68.8,-2,20,D
41,M,179.7,72.2,14.9,45,B
23,M,172.3,80.2,21.6,54,C
52,F,152.8,46.2,27,29,A
24,F,167.6,71.9,24.5,44,A
22,M,175.8,69.66,18.7,52,B
25,F,161.6,45.4,21.3,60,A
39,F,158.5,53.6,25.9,31,A
28,M,175.4,60.6,17.5,53,A
21,M,179.6,89.4,29.4,59,A
63,M,163.2,56.8,9.4,30,B
62,F,157.2,50.4,19.8,18,A
64,M,169.8,66.9,15.6,34,A
29,M,173.9,75.1,16,47,B
62,F,152.5,60.1,17.7,13,B
29,M,171.4,75.88,23.8,45,D
30,M,172.5,67.4,16.6,54,B
22,M,171.2,67.1,16.2,72,A
61,F,153.8,50,13.8,23,C
23,M,185.7,108.9,6.2,35,D
54,F,159.1,64.22,19.8,5,D
61,F,154.4,52.3,18.2,18,B
60,F,157.7,60.3,18.3,22,D
63,F,154.5,64.5,16.7,12,B
40,F,158,53.8,17,29,B
54,M,167.1,64.6,14,46,B
27,M,179,72.52,15.9,53,A
39,M,176,67.9,5.5,35,C
52,F,161.8,69.3,0.1,21,D
22,F,159.9,59.8,22,46,A
25,M,176.6,70.8,17,55,C
40,M,178.9,73.8,13.4,34,C
29,M,174.3,75.5,20.8,60,B
43,M,161.8,68.4,13.5,46,B
26,F,166,66.1,14.1,44,B
26,F,164.9,59.5,16.7,44,B
32,F,157.6,49.44,15.5,40,B
24,M,177.3,70.8,7,56,C
55,F,154.7,54.9,23.5,19,D
32,M,183.9,87.6,10.4,36,D
44,M,173.8,76.6,10,42,C
54,F,153.4,62.6,18,26,B
26,M,176.5,70.3,27,45,C
63,F,158.4,76.4,28.5,10,D
43,F,153.2,51.7,15.6,31,B
61,F,150.7,50.2,19.6,8,C
52,M,178.1,76.5,15.4,38,A
25,M,172.9,69.7,14.3,31,D
27,F,165.8,64.1,21.7,52,B
26,M,178.5,81.2,17.5,49,B
21,F,171,64.26,14.9,44,C
28,M,175.5,80,19.2,57,B
21,M,169.7,69.7,19.4,57,D
61,F,154.3,41.4,23,21,A
21,M,167.4,74.9,21.6,63,A
21,F,163.3,54.1,30.8,47,A
27,M,182.3,83.2,11.3,47,B
21,M,174.9,70.3,8,45,C
27,F,166.5,58.5,22,32,B
32,F,162.7,54.7,12,34,C
22,F,155.1,59.9,21.8,54,A
48,F,157,59.3,15,2,D
58,F,160.6,55.8,20.3,25,B
32,M,172.8,77.3,22.6,47,B
62,M,172,65.2,2,38,D
56,M,168.6,73.8,16.9,51,B
60,M,171,77.3,22.2,33,A
31,F,168,58.9,21.1,36,A
28,M,180.6,70.3,12,45,B
24,M,181.4,88.8,7.2,44,C
27,M,174.3,66.2,16.3,67,A
36,M,174.5,76.8,6.2,51,D
63,M,168.4,61.5,14.6,26,B
23,M,173.3,90.4,3.6,43,D
51,M,169.4,72.6,15.7,36,D
24,F,164.1,49.38,21.1,46,A
25,F,157.6,59.8,19.1,51,B
22,F,167.9,53.9,22.9,47,C
41,F,156.3,52.7,26.8,40,B
22,M,176,79.6,19.3,56,A
40,F,166,58.5,22,33,A
36,M,173,73.9,21,60,A
59,M,175,70.6,12.2,30,C
32,M,175,65.5,18.3,52,A
64,M,167.7,73.8,6.4,30,D
41,M,168.3,63.3,17,44,A
26,M,180.6,80.1,21,51,A
23,F,160.6,58.3,20.9,39,A
63,F,153.5,58.16,-2.1,11,D
58,F,154.8,57.36,18.5,26,B
40,M,178.9,76.9,16.2,49,A
39,M,180.9,79.7,16.1,43,C
29,F,161.1,73.52,20.5,30,D
60,M,174.5,75.1,11.8,32,B
44,M,172.7,82.7,-11,30,D
30,F,166.3,55.2,19.1,47,A
57,F,153.5,52.9,20.6,31,B
46,F,162.3,60.3,17.4,21,C
54,M,160.4,57.1,24,55,A
21,F,160.3,48.7,18.8,32,B
25,M,176.3,80,-0.9,32,D
27,F,154.7,46.8,7.5,15,D
53,F,158.4,51.7,20.4,30,A
21,M,183.1,82.8,18.2,55,C
27,M,170.3,73.1,0.8,44,D
27,M,148,66.3,22,56,A
47,F,155.6,66.8,-1.3,18,D
35,M,182.2,82,-5,45,D
64,M,167.8,64.2,18.6,28,B
62,M,170.2,59.9,16.2,29,B
30,M,175.5,75.1,19.8,45,B
56,M,179.9,84.2,17.3,37,A
25,M,175.1,64.8,19.8,49,B
22,M,175,82.3,8.6,55,D
26,M,179.3,84.3,9.8,52,C
59,F,161.9,56.1,23.7,32,A
38,M,168.3,64.68,7.8,39,C
25,M,167,88,8.4,40,D
30,F,160.8,63.3,21.7,36,A
37,M,180.9,87,16.6,51,C
22,F,160.5,53.6,18,32,B
40,F,162.7,55.5,29.4,37,C
62,M,174.9,71.9,-15.1,20,D
51,M,165.9,59.9,18,41,A
56,F,164,71.4,24.1,16,B
62,F,150,50.7,17,14,B
50,F,158.5,66.7,14.8,15,C
31,F,159.1,45.5,18.3,37,C
57,M,173.7,67.7,16.3,36,B
23,M,177.8,61.7,11.3,44,C
28,M,178.3,73.5,16.9,55,A
44,F,165.8,62,14.8,21,C
31,F,169.6,51.3,14.2,29,B
21,M,163.8,61.18,12.2,46,C
24,M,172.2,65.8,18,46,C
22,F,166.8,63,24.7,45,C
27,M,182,83.9,14,56,C
33,F,169.2,67.3,19.6,40,B
23,M,169.7,71.68,22.2,30,D
36,M,180.8,79.3,21.4,50,A
47,M,165.1,60.9,20.4,47,A
43,F,158.4,50.9,16.4,31,B
52,M,153.5,48.9,-7.1,31,D
39,F,161.4,63.1,5.5,12,D
27,M,176.1,91.8,-17.3,32,D
46,M,171.2,60,13.5,49,B
45,M,175.1,71.7,14.8,41,B
30,F,164.4,52.7,29.3,42,A
21,M,168.3,72.7,13.1,44,C
46,M,164.4,63.6,42,42,A
31,F,161.4,53.8,22.7,58,C
22,F,163.5,60.4,10.6,38,C
35,F,160.2,57.2,21,44,A
27,M,165.5,59.3,16.1,39,C
29,M,176.4,66.2,6.2,43,C
28,M,173.9,73.74,9.1,48,C
60,F,153.2,50.8,21.7,23,C
25,F,153.4,51.1,23.9,39,A
25,M,163.1,64.4,23.7,60,A
31,F,161.5,63.9,31.4,39,A
21,M,174.4,55.4,13.8,39,D
36,M,174.3,79.9,3,50,D
58,F,154.9,59.4,14.6,13,C
54,M,175.2,71.6,15,31,C
21,M,176.8,67.78,21.8,60,D
42,M,168.9,69.9,15.8,33,C
25,F,168.8,62.1,23.8,41,A
24,F,168.1,55.1,22.5,28,C
23,F,159.1,69.88,20.1,41,B
51,M,182.7,73.4,16.7,47,B
50,M,156.7,56.1,21.2,55,A
23,M,179.1,68.4,7.1,46,C
32,M,171.1,75.2,16.6,54,D
31,M,166.8,66,2.1,32,D
24,F,167.2,70,-0.5,22,D
60,M,172.4,80.2,7.7,30,B
45,F,158.1,62.9,23.4,17,D
58,M,177.8,79.2,13,48,B
28,M,185.1,83,13.8,45,B
62,F,144.9,47.9,11.5,5,D
30,M,172.5,73,25.1,63,A
21,F,165.5,60.9,19.8,51,A
33,M,169.1,66.1,10.3,48,B
35,M,176.9,67.8,19.2,46,A
44,M,174.6,75,12,38,B
27,F,159.8,54.8,22.7,38,A
50,M,178.2,94.72,-5.9,30,D
50,M,166,66.2,17.3,47,A
36,F,168,54.1,14.7,22,C
27,M,169.5,56.52,-0.3,38,D
46,M,177.7,72.2,15.7,45,A
23,F,159.1,46.72,20.6,48,B
62,M,172.4,74.9,-4.7,10,D
21,F,156.1,52.5,20.2,39,C
21,M,178.5,69.3,18.1,54,B
41,M,172.9,72.4,-8.3,51,D
36,M,172.1,77,13.6,50,B
24,M,170.9,71.8,18.2,45,C
23,M,180.3,57.8,7.8,46,C
21,M,175.6,72.8,26.3,68,B
57,F,153.6,50.84,20.7,13,C
64,F,163.6,54.1,17.5,13,B
46,M,166.8,92,-6,31,D
23,F,162.7,54.4,24.4,48,A
54,F,163.6,61,13.1,19,C
26,M,173.3,77.4,21.8,58,A
35,F,156.8,55.3,10.5,40,C
28,M,174.4,86.3,6.8,45,C
55,M,172.4,68.5,18.5,28,C
45,M,165.9,70.3,19.4,58,A
62,F,156.5,61.3,18.5,11,D
25,M,173.7,77.5,20.3,56,B
53,M,175.9,84.66,8.9,25,D
31,M,172,78.5,15.3,60,C
28,M,167.9,62.1,19,55,B
31,M,185.6,84.4,12.6,49,B
60,M,162.7,79.7,7.7,24,D
35,M,179.2,75,12,60,B
21,M,177.9,69,-3.5,45,D
63,M,170.6,78.26,7.9,40,B
37,M,171.9,67.4,27,44,B
38,M,174.2,59,13.2,38,C
21,M,172,74.9,0.9,38,D
49,M,170.9,75.8,-5.6,29,D
25,M,172,74,12.2,47,B
42,M,169.3,65.1,25.3,49,A
40,M,181.8,80.8,14.1,58,C
62,F,158.7,59.3,24.6,20,A
56,F,158,67.2,16.9,15,D
31,M,179.1,71.9,11.7,54,B
38,F,149.1,60.96,8.7,7,D
30,F,168.3,58,18.2,52,A
50,M,173,71.7,8,33,C
37,M,179.5,103.7,7,32,D
29,M,172.6,66.2,20.8,49,B
30,F,163.2,53.8,13.1,30,C
55,F,156.9,59.2,25.3,25,B
24,F,156.7,56.8,22.2,46,A
27,M,174,72.7,20.1,56,C
31,F,160,54.9,19.3,56,A
26,F,157.5,50.5,17,55,B
63,F,154.3,45.6,13.6,7,C
64,F,153.5,55,12.3,19,C
50,F,161.2,52.1,21.7,24,A
37,F,161,62.7,31.2,15,D
56,M,170.8,55.8,21.6,31,B
25,M,173,69.5,12.5,38,C
34,F,170.3,58.2,28.5,44,A
23,F,173.3,57.8,22.8,46,C
51,F,159.6,74.6,20.7,13,D
45,M,177.1,75.8,19.4,39,B
56,M,174.4,72.5,18.5,30,B
25,F,160,48.2,24.4,52,A
59,M,167,64.9,9,38,B
25,M,176.8,74.74,23.4,55,A
31,M,168,64.7,22.4,51,A
41,M,170.9,79.2,4,28,D
58,M,171.5,86.1,11.7,10,D
31,M,179.6,76.9,23.2,54,A
26,M,172.7,77.1,16.4,60,B
25,M,172.1,66.5,-14.8,27,D
26,F,165.9,59.3,26.8,44,A
59,F,158.5,56.2,19.8,31,A
29,M,172.2,63.2,20.7,59,B
62,F,155.6,66.1,18.7,6,D
25,F,165.8,55.4,20.6,19,D
45,F,158.6,62.4,22.5,19,C
34,M,173.3,74,24.4,40,C
22,M,170,69.2,21.7,56,A
59,M,166.4,64.5,17.6,38,B
37,M,170.8,64.66,14.9,53,B
48,M,162.1,73.82,23,49,C
25,M,177.2,70.7,19.2,52,A
39,M,177.6,94.5,13.2,26,D
31,F,168.1,59.3,22.5,42,A
63,M,163,60.9,9.9,28,B
28,M,173.3,73,9,61,C
24,F,162.4,44.26,13,48,C
37,M,170.5,76.7,15.4,40,D
26,M,184,84,18.5,53,A
56,F,156.6,60.4,21.2,10,C
21,M,180.6,68.2,6.9,31,D
44,M,175.6,72.1,12.5,40,B
25,F,167.1,59.5,18.7,58,A
21,M,186.3,74.4,3.7,53,D
24,F,166.2,57.1,21.5,44,A
28,F,162.9,65.4,19.3,43,A
21,M,175,64.1,24.7,61,A
34,F,165.1,53.5,21.2,48,A
22,F,167.3,55.3,24.7,40,A
31,F,161.8,53.6,14.7,46,B
22,M,170.7,60.3,18.7,56,C
23,F,167.2,60.3,30.3,47,A
61,M,173.5,71,11.7,38,B
21,M,180.6,89.4,18.9,33,D
23,M,182.9,97.4,5,44,D
46,M,170.1,55.8,17.5,57,A
27,M,169.6,64.1,30.5,53,B
24,M,179.6,76.82,20.6,56,A
28,M,180.7,84.1,19.1,46,C
60,M,160.8,53.8,5,42,C
34,M,173.4,69.1,16.7,43,C
21,M,165.3,65.8,17.8,63,A
38,F,159.7,55.9,25,27,B
23,M,171.5,70.7,17.4,61,A
38,M,191.3,91.74,13.9,53,B
47,M,179,74.5,15.4,34,C
29,F,157.6,58.1,6.8,32,D
55,M,171.2,68.3,19.5,42,B
59,F,156,50.96,11.9,11,C
50,M,169.5,82.8,0.9,36,D
54,F,155.9,53.2,13.8,5,D
21,F,150.3,52,22,46,C
56,F,161.2,55.2,23.6,30,A
30,M,170.1,65,17.9,55,A
37,F,161.7,58.3,16,27,B
63,F,153.9,26.3,7.8,0,D
60,F,152.6,55,18.8,0,D
21,M,164.2,60.9,17.4,58,A
23,F,165.3,82.3,14.3,2,D
33,F,157.9,53.2,20,47,D
21,M,172.8,67.9,25.1,69,A
52,M,167.8,69.5,19,35,B
30,F,155.6,46.3,30,48,A
27,M,168.1,68.9,9.2,43,C
27,M,178.1,73.3,19.8,45,D
30,M,171.4,66,22.9,51,A
21,F,160,62.26,21.3,39,A
23,M,170.2,79.5,2.3,28,D
24,F,167,73.1,28.2,47,B
34,M,181,68.6,17.4,59,A
57,F,154.3,67.5,22.1,0,D
40,M,179.7,81.2,12.7,32,C
55,M,171.8,69.1,17.3,39,B
63,M,159.8,53.6,10.2,28,B
22,M,181.2,71.46,18.1,55,B
33,M,172.7,87.3,12,50,D
40,F,154.6,46.2,20.9,47,A
31,F,165.7,57.86,27,36,A
24,M,177.4,76,12.7,54,C
33,M,173,64.66,2.1,60,D
53,M,164.5,63,17.7,40,A
60,M,166.5,59.2,13.5,31,A
22,M,168,64.1,17,62,A
25,M,171.4,65.7,15.7,62,A
40,F,162,53.8,12.7,19,C
22,F,163.7,56.36,8.4,47,D
55,M,173.7,76.3,10.7,31,B
43,M,173.6,71.1,16.4,47,B
26,M,172.5,78.9,7.8,59,C
35,M,171.3,90.7,17.4,47,B
26,M,175.2,69.4,11.5,45,C
39,M,177.2,76.7,5.7,45,D
60,F,147.5,48.5,19,5,D
44,F,167.1,58.4,12.1,12,D
31,M,173.3,70.4,6.6,44,C
37,M,173.6,86,19.9,45,B
57,M,170.5,73,8.5,40,D
26,F,158.1,62.8,18,25,D
30,M,174.8,75.2,16.3,65,A
46,F,158.9,58.9,19.2,11,D
29,M,176.6,73.9,13.7,53,C
25,F,162.6,55.4,28.9,57,A
37,M,164.3,78,14,54,D
27,M,178.3,75.8,13.5,56,C
26,M,172.7,71.3,22.3,56,A
34,M,171,87,26.9,52,D
22,M,174.5,61.7,11.9,54,B
49,F,156.7,63.28,19.8,39,A
23,M,182.2,82.7,18.2,57,A
51,M,164.1,70.9,14,40,D
23,M,181,97.2,-4.9,40,D
21,M,174.2,70.1,25.2,63,B
32,M,169.5,76,6.3,40,D
32,M,165.1,63.6,10.3,50,B
29,M,173.7,74.9,14.4,61,B
51,F,154.6,40.6,18.5,20,B
64,F,149,47.6,20.4,24,B
32,M,177.1,78.4,16.6,42,B
59,M,160.8,69.36,-15.1,25,D
21,F,158,45.6,19.7,43,A
31,F,161,56.5,16.8,26,B
34,M,181.4,75.4,23,55,B
23,M,176.7,74,24.1,48,B
59,M,175.4,68.1,40,40,B
62,M,163.6,65.5,-3.7,15,D
64,M,167,67.9,15.6,22,D
63,M,172,68.7,18,35,C
29,M,176.9,73,13.7,69,B
